"Run","Sample.Name","Experiment","name_CW","read_type"
"SRR10230182","LA1547","SRX6949685","CW1001","single"
"SRR7279696","BGV015380","SRX4183095","CW1002","paired"
"SRR7279624","BGV006353","SRX4183167","CW1003","paired"
"SRR10313089","LA2102","SRX7024213","CW1004","single"
"SRR7279693","BGV007151","SRX4183098","CW1005","paired"
"SRR7279490","BGV006208","SRX4183301","CW1006","paired"
"SRR7279672","BGV007169","SRX4183119","CW1007","paired"
"SRR10230187","LA1279","SRX6949680","CW1008","single"
"SRR7279685","BGV007366","SRX4183106","CW1009","paired"
"SRR10230184","LA1924","SRX6949683","CW1010","single"
"SRR7279580","BGV006363","SRX4183211","CW1011","paired"
"SRR7279686","BGV007181","SRX4183105","CW1012","paired"
"SRR7279702","BGV007194","SRX4183089","CW1013","paired"
"SRR10222607","LA1582","SRX6942210","CW1014","single"
"SRR10222606","LA1245","SRX6942211","CW1016","single"
"SRR10313088","LA2173","SRX7024214","CW1017","single"
"SRR11194343","BGV006775","SRX7814380","CW1018","single"
"SRR11097109","LA1589","SRX7735879","CW1019","single"
"SRR10230186","LA1237","SRX6949681","CW1020","single"
"SRR7279720","BGV007149","SRX4183071","CW1021","paired"
"SRR7279506","BGV006457","SRX4183285","CW1022","paired"
"SRR10313085","BGV006454","SRX7024217","CW1023","single"
"SRR7279483","BGV006148","SRX4183308","CW1024","paired"
"SRR7279698","BGV015382","SRX4183093","CW1025","paired"
"SRR7279721","BGV007339","SRX4183070","CW1026","paired"
"SRR7279692","BGV007152","SRX4183099","CW1027","paired"
"SRR7279667","BGV006336","SRX4183124","CW1028","paired"
"SRR7279687","BGV007161","SRX4183104","CW1029","paired"
"SRR7279505","BGV006478","SRX4183286","CW1030","paired"
"SRR7279659","BGV007198","SRX4183132","CW1031","paired"
"SRR7279507","BGV006327","SRX4183284","CW1032","paired"
"SRR10222608","LA2181","SRX6942209","CW1033","single"
"SRR7279719","BGV007158","SRX4183072","CW1034","paired"
"SRR7279535","BGV006347","SRX4183256","CW1035","paired"
"SRR10230180","LA1335","SRX6949687","CW1036","single"
"SRR7279583","BGV006370","SRX4183208","CW1037","paired"
"SRR10230181","LA1478","SRX6949686","CW1038","single"
"SRR10313087","BGV007109","SRX7024215","CW1039","single"
"SRR10230183","LA1592","SRX6949684","CW1040","single"
"SRR10287514","LA1409","SRX7000502","CW2000","single"
"SRR11186635","LA3124","SRX7806912","CW2001","single"
"SRR10287515","LA0528B","SRX7000501","CW2002","single"
"SRR10287513","LA1407","SRX7000503","CW2003","single"
"SRR10287512","LA1406","SRX7000504","CW2004","single"
"SRR10241440","LA0438","SRX6960108","CW3000","single"
"SRR11186627","LA1141","SRX7806920","CW3001","single"
"SRR10241441","LA0483","SRX6960107","CW3002","single"
"SRR10241442","LA0526","SRX6960106","CW3003","single"
"SRR10241439","LA0317","SRX6960109","CW3004","single"
"SRR10241444","LA1136","SRX6960104","CW3005","single"
"SRR14191280","LA4345","SRX10558138","CW0000","single"
"SRR29823272","LA0490","SRX25322143","CW0001","single"
"SRR29540650","LA1994","SRX25048037","CW0002","paired"
"SRR31986498","LA2661","SRX27341537","CW0003","paired"
"SRR941559","LA2375","SRX326415","CW0006","paired"
"SRR31986664","LA2662","SRX27341371","CW0015","paired"
"SRR10208149","LA3317","SRX6928073","CW0030","single"
"SRR11093182","PI647486","SRX7732019","CW0044","single"
"SRR10214511","LA4026","SRX6934191","CW0066","single"
"SRR10214512","LA3840","SRX6934190","CW0070","single"
"SRR10199004","LA0502","SRX6919144","CW0092","single"
"SRR10199003","LA3465","SRX6919145","CW0110","single"
"SRR10208148","LA3242","SRX6928074","CW0127","single"
"SRR9856933","LA3475","SRX6610777","CW0128","single"
"SRR1572375","LA3120","SRX698517","CW0004","paired"
"SRR1572358","LA4355","SRX698500","CW0005","paired"
"SRR1572591","LA3320","SRX698733","CW0007","paired"
"SRR7279693","LA4715","SRX4183098","CW1015","paired"
