sample	data_type	qc_pipeline	reference	total_reads	mapped_reads	mapped_pct	supplementary_reads	supplementary_pct	mean_mapq	median_mapq	mq0	mq0_pct	mq1_19	mq1_19_pct	mq20_29	mq20_29_pct	mq30_59	mq30_59_pct	mq60	mq60_pct	coverage_mean	coverage_median	pct_zero_coverage
SRX6949683_SRR10230184_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	322706160	266827212	82.68	4801611	1.7995	27.6308	24	97553419	36.5605	27634419	10.3567	17820995	6.6789	47936108	17.9652	75882271	28.4387	38.7315	28	3.2356
SRX7437647_SRR10763454_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	243183711	196872311	80.96	3187647	1.6191	33.8201	39	47305446	24.0285	21425490	10.8829	15710551	7.9801	43623954	22.1585	68806870	34.9500	28.6132	25	2.9037
SRX7000502_SRR10287514_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	304150650	245891192	80.85	3992250	1.6236	23.4052	12	109491512	44.5284	23819902	9.6872	15919109	6.4740	41609287	16.9218	55051382	22.3885	35.2320	21	3.5409
SRX7437648_SRR10763453_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	243723251	193409824	79.36	2822444	1.4593	31.3765	33	54797087	28.3321	20346571	10.5199	15662411	8.0980	42830563	22.1450	59773192	30.9049	27.9225	22	2.2062
SRX7732005_SRR11093196_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	209761303	164255966	78.31	2200205	1.3395	27.8341	25	60174623	36.6347	15527851	9.4534	11444252	6.9673	30958129	18.8475	46151111	28.0971	23.6599	15	4.4228
SRX7750520_SRR11113513_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	96389629	86091477	89.32	996340	1.1573	34.7445	48	25465823	29.5800	6458698	7.5021	4069928	4.7274	11456036	13.3068	38640992	44.8836	14.0924	10	0.6610
SRX6960107_SRR10241441_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	348368924	286538220	82.25	5223018	1.8228	28.8386	28	95982121	33.4971	30094152	10.5027	21311680	7.4376	56942809	19.8727	82207458	28.6899	40.6737	31	2.5622
SRX7437650_SRR10763451_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	334076888	268772836	80.45	3932106	1.4630	31.1710	33	78284831	29.1268	27450448	10.2133	21343617	7.9411	58544970	21.7823	83148970	30.9365	38.7312	30	1.9008
SRX6919145_SRR10199003_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	459317895	367181328	79.94	4876029	1.3280	29.1946	29	121091046	32.9785	36560160	9.9570	28301688	7.7078	76881968	20.9384	104346466	28.4182	53.2115	38	0.9698
SRX7806918_SRR11186629_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	104682365	94062463	89.86	1047408	1.1135	30.2227	31	36207779	38.4933	6488338	6.8979	3826937	4.0685	10659770	11.3327	36879639	39.2076	15.4647	10	1.3884
SRX7053422_SRR10343552_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	356599624	303408628	85.08	4906153	1.6170	30.8532	33	98949368	32.6126	27781333	9.1564	19230676	6.3382	52892699	17.4328	104554552	34.4600	44.9956	34	1.1654
SRX6942211_SRR10222606_150bp_filtered_bwamem2	ONT_fragmented_longreads	samtools_bam_qc_v3	S_lycopersicum_4.00	438528054	360071077	82.11	6298174	1.7491	28.4549	27	124525977	34.5837	37761575	10.4873	25458755	7.0705	68459564	19.0128	103865206	28.8458	51.8106	39	1.1577
