sample	data_type	qc_pipeline	reference	total_reads	mapped_reads	mapped_pct	proper_pairs	proper_pairs_pct	mean_mapq	median_mapq	mq0	mq0_pct	mq1_19	mq1_19_pct	mq20_29	mq20_29_pct	mq30_59	mq30_59_pct	mq60	mq60_pct	coverage_mean	coverage_median	pct_zero_coverage
SRX4183217_SRR7279574_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	80888538	80320825	99.30	75946328	93.8901	49.4234	60	11178684	13.9175	1406192	1.7507	931132	1.1593	4862102	6.0534	61942715	77.1191	14.7043	13	1.0143
SRX4183223_SRR7279568_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	92482681	91966604	99.44	84498042	91.3663	49.2021	60	12502356	13.5945	2148702	2.3364	1266481	1.3771	5559113	6.0447	70489952	76.6473	16.8513	15	1.6823
SRX4183219_SRR7279572_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	95947575	95290440	99.32	88330780	92.0615	49.8796	60	12471613	13.0880	1687386	1.7708	1122154	1.1776	5843193	6.1320	74166094	77.8316	17.5705	15	1.1773
SRX4183222_SRR7279569_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	101471259	100854656	99.39	95876714	94.4866	50.3963	60	12569247	12.4627	1628778	1.6150	1130308	1.1207	5923516	5.8733	79602807	78.9282	18.6384	17	0.7929
SRX4183215_SRR7279576_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	110340295	109586535	99.32	104472278	94.6819	50.7973	60	12880309	11.7536	1792571	1.6358	1223464	1.1164	6598743	6.0215	87091448	79.4728	20.2728	18	0.8297
SRX4183232_SRR7279559_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	21127635	20897366	98.91	19964660	94.4955	48.7829	60	3202559	15.3252	326997	1.5648	230608	1.1035	1108193	5.3030	16029009	76.7035	3.9633	3	5.6788
SRX4183234_SRR7279557_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	24295256	23952705	98.59	22828106	93.9612	49.3895	60	3397682	14.1850	393302	1.6420	273597	1.1422	1303541	5.4421	18584583	77.5887	4.5414	4	4.5983
1.6052
SRX4183233_SRR7279558_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	35971519	35629051	99.05	34564518	96.0886	48.5630	60	5766533	16.1849	422944	1.1871	340941	0.9569	1792909	5.0322	27305724	76.6389	6.7669	6	2.0254
SRX4183230_SRR7279561_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	54374917	53988110	99.29	51626038	94.9446	50.9674	60	5970443	11.0588	1071824	1.9853	693884	1.2853	3148008	5.8309	43103951	79.8397	10.1982	9	2.0436
SRX4183235_SRR7279556_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	86410247	85825245	99.32	79682550	92.2142	42.7892	60	21714121	25.3004	1320440	1.5385	943602	1.0994	4725508	5.5060	57121574	66.5557	15.8630	12	1.3298
SRX4183243_SRR7279548_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	72974796	72507954	99.36	69253384	94.9004	50.5296	60	8996873	12.4081	1076105	1.4841	765740	1.0561	4263172	5.8796	57406064	79.1721	13.4207	12	0.9697
SRX4183255_SRR7279536_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	18013635	17708083	98.30	16971056	94.2123	51.6318	60	1893254	10.6915	250106	1.4124	186470	1.0530	975378	5.5081	14402875	81.3350	3.3605	3	6.8323
SRX4183259_SRR7279532_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	39073267	38586316	98.75	36942530	94.5468	47.5474	60	6462361	16.7478	775919	2.0109	504142	1.3065	2218452	5.7493	28625442	74.1855	7.2965	6	3.1939
SRX4183257_SRR7279534_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	23511198	23284853	99.04	22353714	95.0769	51.1238	60	2794377	12.0008	257102	1.1042	213195	0.9156	1190467	5.1126	18829712	80.8668	4.4249	4	3.3006
SRX4183256_SRR7279535_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	39381094	39003341	99.04	35338984	89.7359	42.8604	60	8682987	22.2622	1501882	3.8506	776596	1.9911	2604476	6.6776	25437400	65.2185	7.0880	6	5.4605
